locality,historical_county,current_planning_region,authority_url
Bridgeport,Fairfield,Greater Bridgeport,https://www.bridgeportct.gov/government/departments/town-clerk/elections
New Haven,New Haven,South Central Connecticut,https://www.newhavenct.gov/government/departments-divisions/city-town-clerk/elections
Stamford,Fairfield,Western Connecticut,https://www.stamfordct.gov/government/town-clerk/elections
Hartford,Hartford,Capitol,https://www.hartfordct.gov/Government/Departments/Town-and-City-Clerk/Elections
Waterbury,New Haven,Naugatuck Valley,https://www.waterburyct.org/services/town_clerk/elections
Norwalk,Fairfield,Western Connecticut,https://www.norwalkct.gov/332/Elections-Voting
Danbury,Fairfield,Western Connecticut,https://www.danbury-ct.gov/191/Elections
New Britain,Hartford,Capitol,https://www.newbritainct.gov/services/town_clerk/elections.htm
Meriden,New Haven,South Central Connecticut,https://www.meridenct.gov/government/departments/city-clerk/elections/
Bristol,Hartford,Capitol,https://www.bristolct.gov/237/Elections
West Hartford,Hartford,Capitol,https://www.westhartfordct.gov/town-departments/town-clerk/elections
Greenwich,Fairfield,Western Connecticut,https://www.greenwichct.gov/1191/Elections
Fairfield,Fairfield,Greater Bridgeport,https://www.fairfieldct.org/service/town_clerk/elections.php
Hamden,New Haven,South Central Connecticut,https://www.hamden.com/229/Elections
Manchester,Hartford,Capitol,https://www.manchesterct.gov/Government/Departments/Town-Clerk/Elections
East Hartford,Hartford,Capitol,https://www.easthartfordct.gov/town-clerk/pages/elections-voting
Milford,New Haven,South Central Connecticut,https://www.ci.milford.ct.us/city-clerk/pages/elections-voting
Middletown,Middlesex,Lower Connecticut River Valley,https://www.middletownct.gov/239/Elections
Enfield,Hartford,Capitol,https://www.enfield-ct.gov/434/Elections
Wallingford,New Haven,South Central Connecticut,https://www.wallingfordct.gov/government/town-clerk/elections/
Groton,New London,Southeastern Connecticut,https://www.groton-ct.gov/departments/town_clerk/elections.php
New London,New London,Southeastern Connecticut,https://www.newlondonct.org/content/7429/7431/7443/default.aspx
Norwich,New London,Southeastern Connecticut,https://www.norwichct.org/179/Elections-Voting
Torrington,Litchfield,Northwest Hills,https://www.torringtonct.org/town-clerk/pages/elections-voting
Windham,Windham,Northeastern Connecticut,https://www.windhamct.com/town-clerk/pages/elections
Putnam,Windham,Northeastern Connecticut,https://www.putnamct.us/government/town-clerk/elections
Salisbury,Litchfield,Northwest Hills,https://www.salisburyct.us/town-clerk/elections
Lyme,New London,Lower Connecticut River Valley,https://www.townlyme.org/town-clerk/pages/elections
Union,Tolland,Northeastern Connecticut,https://www.unionconnecticut.org/town-clerk/pages/elections
Canaan,Litchfield,Northwest Hills,https://www.canaanfallsvillage.org/town-clerk/elections
