locality,historical_county,current_planning_region,platform_or_shape,live_results,archive,precinct_or_district_level,vote_mode_detail,turnout_fields,download_formats,portability_class,notes
Bridgeport,Fairfield,Greater Bridgeport,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
New Haven,New Haven,South Central Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Stamford,Fairfield,Western Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Hartford,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Waterbury,New Haven,Naugatuck Valley,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Norwalk,Fairfield,Western Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Danbury,Fairfield,Western Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
New Britain,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Meriden,New Haven,South Central Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Bristol,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
West Hartford,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Greenwich,Fairfield,Western Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Fairfield,Fairfield,Greater Bridgeport,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Hamden,New Haven,South Central Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Manchester,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
East Hartford,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Milford,New Haven,South Central Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Middletown,Middlesex,Lower Connecticut River Valley,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Enfield,Hartford,Capitol,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Wallingford,New Haven,South Central Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Groton,New London,Southeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
New London,New London,Southeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Norwich,New London,Southeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Torrington,Litchfield,Northwest Hills,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Windham,Windham,Northeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Putnam,Windham,Northeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Salisbury,Litchfield,Northwest Hills,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Lyme,New London,Lower Connecticut River Valley,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Union,Tolland,Northeastern Connecticut,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Canaan,Litchfield,Northwest Hills,pending,unknown,unknown,unknown,unknown,unknown,unknown,pending,"Initial Connecticut stress-test cohort; artifact verification pending."
Andover,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Ansonia,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Ashford,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Avon,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Barkhamsted,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Beacon Falls,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Berlin,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bethany,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bethel,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bethlehem,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bloomfield,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bolton,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bozrah,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Branford,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Bridgewater,Litchfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Brookfield,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Brooklyn,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Burlington,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Canterbury,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Chaplin,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Cheshire,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Chester,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Clinton,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Colchester,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Colebrook,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Columbia,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Cornwall,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Coventry,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Cromwell,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Darien,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Deep River,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Derby,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Durham,Middlesex,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Granby,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Haddam,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Hampton,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Haven,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Lyme,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
East Windsor,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Eastford,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Easton,Fairfield,Greater Bridgeport,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Ellington,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Essex,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Farmington,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Franklin,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Glastonbury,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Goshen,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Granby,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Griswold,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Guilford,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Haddam,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Hampton,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Hartland,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Harwinton,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Hebron,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Kent,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Killingly,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Killingworth,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Lebanon,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Ledyard,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Lisbon,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Litchfield,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Madison,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Mansfield,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Marlborough,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Middlebury,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Middlefield,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Monroe,Fairfield,Greater Bridgeport,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Montville,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Morris,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Naugatuck,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
New Canaan,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
New Fairfield,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
New Hartford,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
New Milford,Litchfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Newington,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Newtown,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
North Branford,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
North Canaan,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
North Haven,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
North Stonington,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Old Lyme,New London,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Old Saybrook,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Orange,New Haven,South Central Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Oxford,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Plainfield,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Plainville,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Plymouth,Litchfield,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Pomfret,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Portland,Middlesex,Lower Connecticut River Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Preston,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Prospect,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Redding,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Ridgefield,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Rocky Hill,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Roxbury,Litchfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Salem,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Scotland,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Seymour,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Sharon,Litchfield,Northwest Hills,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Shelton,Fairfield,Greater Bridgeport,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Sherman,Fairfield,Western Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Simsbury,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Somers,Tolland,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
South Windsor,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Southbury,New Haven,Naugatuck Valley,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Southington,Hartford,Capitol,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Sprague,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Stafford,Tolland,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Sterling,Windham,Northeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
Stonington,New London,Southeastern Connecticut,"town election authority candidate",unknown,unknown,unknown,unknown,unknown,unknown,pending,"Statewide Connecticut expansion; generated authority URL requires live verification."
