jurisdiction_id,authority_id,source_id,capability_type,source_url,platform_family,smallest_observed_unit,valid_from,valid_to,evidence_snapshot_sha256,verification_status,assessment_method,evidence_reference,notes
us:mi:county:washtenaw,us:authority:mi:county-clerk:washtenaw-county-clerk,legacy:us:mi:county:washtenaw:source:1,final,https://www.washtenaw.org/304/Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:washtenaw:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:washtenaw,us:authority:mi:county-clerk:washtenaw-county-clerk,legacy:us:mi:county:washtenaw:source:1,election_night,https://www.washtenaw.org/304/Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:washtenaw:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:wayne,us:authority:mi:county-clerk:wayne-county-clerk,legacy:us:mi:county:wayne:source:1,final,https://www.waynecounty.com/elected/clerk/elections.aspx,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:wayne:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:wayne,us:authority:mi:county-clerk:wayne-county-clerk,legacy:us:mi:county:wayne:source:1,election_night,https://www.waynecounty.com/elected/clerk/elections.aspx,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:wayne:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:oakland,us:authority:mi:county-clerk:oakland-county-clerk,legacy:us:mi:county:oakland:source:1,final,https://www.oakgov.com/government/clerk-register-of-deeds/elections-voting,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:oakland:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:oakland,us:authority:mi:county-clerk:oakland-county-clerk,legacy:us:mi:county:oakland:source:1,election_night,https://www.oakgov.com/government/clerk-register-of-deeds/elections-voting,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:oakland:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:macomb,us:authority:mi:county-clerk:macomb-county-clerk,legacy:us:mi:county:macomb:source:1,final,https://clerk.macombgov.org/Clerk-Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:macomb:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:macomb,us:authority:mi:county-clerk:macomb-county-clerk,legacy:us:mi:county:macomb:source:1,election_night,https://clerk.macombgov.org/Clerk-Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:macomb:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:ingham,us:authority:mi:county-clerk:ingham-county-clerk,legacy:us:mi:county:ingham:source:1,final,https://clerk.ingham.org/departments_and_officials/county_clerk/elections.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:ingham:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:ingham,us:authority:mi:county-clerk:ingham-county-clerk,legacy:us:mi:county:ingham:source:1,election_night,https://clerk.ingham.org/departments_and_officials/county_clerk/elections.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:ingham:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:kent,us:authority:mi:county-clerk:kent-county-clerk,legacy:us:mi:county:kent:source:1,final,https://www.accesskent.com/Departments/Elections/,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:kent:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:kent,us:authority:mi:county-clerk:kent-county-clerk,legacy:us:mi:county:kent:source:1,election_night,https://www.accesskent.com/Departments/Elections/,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:kent:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:genesee,us:authority:mi:county-clerk:genesee-county-clerk,legacy:us:mi:county:genesee:source:1,final,https://www.geneseecountymi.gov/departments/county_clerk/elections/index.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:genesee:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:genesee,us:authority:mi:county-clerk:genesee-county-clerk,legacy:us:mi:county:genesee:source:1,election_night,https://www.geneseecountymi.gov/departments/county_clerk/elections/index.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:genesee:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:ottawa,us:authority:mi:county-clerk:ottawa-county-clerk,legacy:us:mi:county:ottawa:source:1,final,https://www.miottawa.org/departments/county-clerk/elections/,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:ottawa:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:ottawa,us:authority:mi:county-clerk:ottawa-county-clerk,legacy:us:mi:county:ottawa:source:1,election_night,https://www.miottawa.org/departments/county-clerk/elections/,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:ottawa:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:kalamazoo,us:authority:mi:county-clerk:kalamazoo-county-clerk,legacy:us:mi:county:kalamazoo:source:1,final,https://www.kalcounty.com/clerk/elections.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:kalamazoo:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:kalamazoo,us:authority:mi:county-clerk:kalamazoo-county-clerk,legacy:us:mi:county:kalamazoo:source:1,election_night,https://www.kalcounty.com/clerk/elections.php,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:kalamazoo:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:jackson,us:authority:mi:county-clerk:jackson-county-clerk,legacy:us:mi:county:jackson:source:1,final,https://www.mijackson.org/170/Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:jackson:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:jackson,us:authority:mi:county-clerk:jackson-county-clerk,legacy:us:mi:county:jackson:source:1,election_night,https://www.mijackson.org/170/Elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:jackson:election_night,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
us:mi:county:allegan,us:authority:mi:county-clerk:allegan-county-clerk,legacy:us:mi:county:allegan:source:1,final,https://www.allegancounty.org/departments/county-clerk/elections,,,,,,verified,existing_state_capability_registry,registry/us_primary_election_localities.csv#us:mi:county:allegan:final,Migrated from canonical locality capability evidence; legacy source_id is a migration placeholder where normalized source identity was absent.
