county,platform_or_shape,live_results,archive,precinct_level,vote_mode_detail,turnout_fields,underovervotes,download_formats,reporting_topology_detail,audit_artifacts,notes
Washtenaw,custom HTML electionreporting,true,true,true,"Early;Absentee;Election Day;Total",true,true,"HTML;CSV archive",true,unknown,"Current system exposes precinct pages and source timestamps; consolidated reporting-unit variants observed in 2025."
Wayne,PDF-first official reports,true,true,true,"Early Voting;Election Day;Absentee;Pre-Process Absentee",true,unknown,PDF,true,unknown,"2024 official summary reports 912 precincts and mode-separated totals; extensive race-by-precinct PDFs."
Oakland,county Election Reporting System,true,true,true,unknown,true,unknown,"web;turnout reports",unknown,unknown,"Past-results portal uses county Election Reporting System and separate voter-turnout reports; needs endpoint reverse engineering."
Macomb,custom web reporting,true,true,true,"ED;AV",unknown,unknown,HTML,true,unknown,"Precinct Reporting Details records first report, 50% reported, and final timestamps separately for ED and AV by jurisdiction."
Ingham,results website + summary/precinct exports,true,true,true,unknown,unknown,unknown,"summary;precinct;web",unknown,true,"County index consistently publishes summary, precinct, results website, candidate/local proposal, and audit artifacts."
Kent,structured election database,true,true,true,unknown,true,true,"CSV;HTML;PDF",unknown,unknown,"Election database exposes contest-level precinct CSV downloads plus votes, undervotes, overvotes, total ballots cast, and registered voters."
Genesee,linked county results/archive,true,true,true,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official county election site is authoritative; classify endpoint family during live-feed pass."
Ottawa,linked county results/archive,true,true,true,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official county election site is authoritative; endpoint family still needs fingerprinting."
Kalamazoo,county results archive/web,true,true,unknown,unknown,unknown,unknown,"web;PDF",unknown,true,"Current/past results portal and post-election audit links available; need inspect election-result endpoint for precinct/mode granularity."
Jackson,PDF-first official reports,true,true,true,unknown,unknown,unknown,PDF,unknown,unknown,"Current results and archive publish summary and precinct-by-precinct PDFs; archive extends to 1993."
Allegan,PDF/report-center archive,true,true,true,unknown,unknown,unknown,PDF,true,unknown,"Publishes Precinct Status, Statement of Votes Cast, summary, results-per-precinct, and canvass PDFs; current website archive goes back to 2016."
Barry,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority known; endpoint family pending automated fingerprint."
Bay,summary + precinct report links,true,true,true,unknown,unknown,unknown,"web/PDF",unknown,unknown,"2026 index publishes separate Summary and Precinct results for multiple elections."
Berrien,election reporting archive + linked result system,true,true,unknown,unknown,unknown,unknown,"web;PDF",unknown,unknown,"Recent elections link to a dedicated results system; archive also contains PDF-era results."
Calhoun,custom web app + ArcGIS,true,true,true,unknown,true,unknown,"HTML;GIS;SOV",true,unknown,"Current app exposes contest results and full/partial/not-reported status by precinct; separate ArcGIS ElectionResults service exposes precinct-boundary and contest layers."
Clinton,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority known; endpoint family pending automated fingerprint."
Eaton,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority known; endpoint family pending automated fingerprint."
Grand Traverse,reporting center + archive,true,true,unknown,unknown,true,unknown,"web;archive",unknown,unknown,"2026 page links official results and Election Day turnout; reporting center covers results beginning in 2021."
Livingston,report-center exports,true,true,true,"Early Voting totals; AVCB presence varies by township",true,unknown,"summary;SOV;precinct status;early voting totals",true,unknown,"2026 page publishes Statement of Votes Cast, Precinct Status, candidate/proposal reports, and Early Voting Totals; notes which townships lack AVCB precincts."
Monroe,linked county results/archive,unknown,true,unknown,unknown,unknown,unknown,"web;archive",unknown,unknown,"Official authority known; endpoint family pending automated fingerprint."
Muskegon,cumulative + precinct results archive,true,true,true,unknown,unknown,unknown,"cumulative;precinct;mapping",true,unknown,"Archive exposes separate cumulative and precinct results plus result mapping across recent elections."
