state,county,municipality,election_date,source_scope,source_url,election_night_available,election_night_unit_type,election_night_unit_id_available,reporting_progress_semantics,unit_completion_observable,vote_mode_at_unit_level,updates_are_cumulative,source_timestamp_available,certified_unit_type,night_to_certified_crosswalk,status,notes
MI,Washtenaw,,2026-08-04,county,https://www.washtenaw.org/election-results,true,precinct,true,unknown,unknown,unknown,true,unknown,precinct,exact,verified,"County is the live-results publication destination for Ann Arbor and maintains downloadable precinct-level official archive."
MI,Wayne,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Oakland,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Macomb,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Ingham,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Kent,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Genesee,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Ottawa,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Kalamazoo,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Jackson,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
MI,Allegan,,2026-08-04,county,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,precinct,unknown,candidate,"County-only election-night pass; official county authority exists in mi_county_authorities.csv; live source and semantics require verification."
