county,authority_url
Cuyahoga,https://boe.cuyahogacounty.gov/
Franklin,https://vote.franklincountyohio.gov/
Hamilton,https://votehamiltoncountyohio.gov/
Summit,https://www.boe.ohio.gov/summit/
Montgomery,https://www.montgomery.boe.ohio.gov/
Lucas,https://www.lucascountyohiovotes.gov/
Stark,https://www.starkcountyohio.gov/government/offices/board_of_elections/
Butler,https://elections.bcohio.gov/
Lorain,https://www.voteloraincountyohio.gov/
Mahoning,https://vote.mahoningcountyoh.gov/
Lake,https://www.lakecountyohio.gov/boe/
Trumbull,https://boe.co.trumbull.oh.us/
Clermont,https://boe.clermontcountyohio.gov/
Warren,https://vote.warrencountyohio.gov/
Delaware,https://vote.delawarecountyohio.gov/
Licking,https://www.boe.ohio.gov/licking/
Greene,https://www.greenecountyohio.gov/128/Board-of-Elections
Athens,https://www.boe.ohio.gov/athens/
Wood,https://www.woodcountyohio.gov/boe/
Portage,https://www.portagecounty-oh.gov/board-elections
