county,platform_or_shape,live_results,archive,precinct_level,vote_mode_detail,turnout_fields,underovervotes,download_formats,reporting_topology_detail,audit_artifacts,portability_class,notes
Cuyahoga,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Franklin,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Hamilton,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Summit,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Montgomery,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Lucas,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Stark,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Butler,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Lorain,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Mahoning,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Lake,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Trumbull,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Clermont,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Warren,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Delaware,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Licking,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Greene,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Athens,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Wood,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
Portage,pending census,unknown,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,"First Ohio portability cohort."
