county,authority_status,authority_url
Adams,candidate,
Allegheny,candidate,
Armstrong,candidate,
Beaver,candidate,
Bedford,candidate,
Berks,candidate,
Blair,candidate,
Bradford,candidate,
Bucks,candidate,
Butler,candidate,
Cambria,candidate,
Cameron,candidate,
Carbon,candidate,
Centre,candidate,
Chester,candidate,
Clarion,candidate,
Clearfield,candidate,
Clinton,candidate,
Columbia,candidate,
Crawford,candidate,
Cumberland,candidate,
Dauphin,candidate,
Delaware,candidate,
Elk,candidate,
Erie,candidate,
Fayette,candidate,
Forest,candidate,
Franklin,candidate,
Fulton,candidate,
Greene,candidate,
Huntingdon,candidate,
Indiana,candidate,
Jefferson,candidate,
Juniata,candidate,
Lackawanna,candidate,
Lancaster,candidate,
Lawrence,candidate,
Lebanon,candidate,
Lehigh,candidate,
Luzerne,candidate,
Lycoming,candidate,
McKean,candidate,
Mercer,candidate,
Mifflin,candidate,
Monroe,candidate,
Montgomery,candidate,
Montour,candidate,
Northampton,candidate,
Northumberland,candidate,
Perry,candidate,
Philadelphia,candidate,
Pike,candidate,
Potter,candidate,
Schuylkill,candidate,
Snyder,candidate,
Somerset,candidate,
Sullivan,candidate,
Susquehanna,candidate,
Tioga,candidate,
Union,candidate,
Venango,candidate,
Warren,candidate,
Washington,candidate,
Wayne,candidate,
Westmoreland,candidate,
Wyoming,candidate,
York,candidate,
