state,expected_primary_units,enumerated_unresolved,known_final_only,known_election_night_only,known_both,known_units_missing_source,estimated_unknown_units,known_units_with_any_source,known_units_with_final,known_units_with_election_night,authority_model,estimate_status,evidence_method
AK,1,0,0,0,0,0,1,0,0,0,state/election-region,provisional,migrated_from_existing_tracker
AL,67,0,0,0,0,0,67,0,0,0,county,provisional,migrated_from_existing_tracker
AR,75,0,0,0,0,0,75,0,0,0,county,provisional,national_first_pass_2026
AZ,15,0,0,0,0,0,15,0,0,0,county,provisional,migrated_from_existing_tracker
CA,58,0,0,0,0,0,58,0,0,0,county,provisional,national_first_pass_2026
CO,64,0,0,0,0,0,64,0,0,0,county,provisional,national_first_pass_2026
CT,169,169,0,0,0,0,0,0,0,0,municipality,high_confidence,historical_ct_town_registry
DC,1,0,0,0,0,0,1,0,0,0,district,provisional,national_first_pass_2026
DE,3,0,0,0,0,0,3,0,0,0,county+state,provisional,national_first_pass_2026
FL,67,0,0,0,0,0,67,0,0,0,county,provisional,national_first_pass_2026
GA,159,0,0,0,0,0,159,0,0,0,county,provisional,migrated_from_existing_tracker
HI,4,0,0,0,0,0,4,0,0,0,state+county,provisional,migrated_from_existing_tracker
IA,99,0,0,0,0,0,99,0,0,0,county,provisional,migrated_from_existing_tracker
ID,44,0,0,0,0,0,44,0,0,0,county,provisional,national_first_pass_2026
IL,108,0,0,0,0,0,108,0,0,0,local-election-authority,provisional,national_first_pass_2026
IN,92,0,0,0,0,0,92,0,0,0,county,provisional,national_first_pass_2026
KS,105,0,0,0,0,0,105,0,0,0,county,provisional,migrated_from_existing_tracker
KY,120,0,0,0,0,0,120,0,0,0,county,provisional,migrated_from_existing_tracker
LA,64,0,0,0,0,0,64,0,0,0,parish,provisional,migrated_from_existing_tracker
MA,351,0,0,0,0,0,351,0,0,0,municipal,provisional,migrated_from_existing_tracker
MD,24,0,0,0,0,0,24,0,0,0,county+independent-city,provisional,migrated_from_existing_tracker
ME,350,200,150,0,0,0,0,150,150,0,municipality,high_confidence,existing_me_locality_registry
MI,83,0,60,0,23,0,0,83,83,23,county,high_confidence,existing_mi_county_authority_registry
MN,87,0,0,0,0,0,87,0,0,0,state+county/local,provisional,migrated_from_existing_tracker
MO,116,0,0,0,0,0,116,0,0,0,local-election-authority,provisional,migrated_from_existing_tracker
MS,82,0,0,0,0,0,82,0,0,0,county,provisional,national_first_pass_2026
MT,56,0,0,0,0,0,56,0,0,0,county,provisional,national_first_pass_2026
NC,100,0,0,0,0,0,100,0,0,0,county+state,provisional,national_first_pass_2026
ND,53,0,0,0,0,0,53,0,0,0,county+state,provisional,migrated_from_existing_tracker
NE,93,0,0,0,0,0,93,0,0,0,county,provisional,national_first_pass_2026
NH,234,0,0,0,0,0,234,0,0,0,town+ward,provisional,migrated_from_existing_tracker
NJ,21,0,0,0,0,0,21,0,0,0,county+municipal/election-district,provisional,migrated_from_existing_tracker
NM,33,0,0,0,0,0,33,0,0,0,county+state,provisional,migrated_from_existing_tracker
NV,17,0,0,0,0,0,17,0,0,0,county+independent-city,provisional,national_first_pass_2026
NY,58,0,0,0,0,0,58,0,0,0,county+board-of-elections,provisional,migrated_from_existing_tracker
OH,88,0,12,0,76,0,0,88,88,76,county,high_confidence,existing_oh_county_authority_registry
OK,77,0,0,0,0,0,77,0,0,0,county,provisional,national_first_pass_2026
OR,36,0,0,0,0,0,36,0,0,0,county,provisional,migrated_from_existing_tracker
PA,67,0,66,0,1,0,0,67,67,1,county,high_confidence,historical_pa_county_registry
RI,39,0,0,0,0,0,39,0,0,0,state+municipal,provisional,migrated_from_existing_tracker
SC,46,0,0,0,0,0,46,0,0,0,county+state,provisional,migrated_from_existing_tracker
SD,66,0,0,0,0,0,66,0,0,0,county,provisional,national_first_pass_2026
TN,95,0,0,0,0,0,95,0,0,0,county,provisional,national_first_pass_2026
TX,254,0,0,0,0,0,254,0,0,0,county,provisional,national_first_pass_2026
UT,29,0,0,0,0,0,29,0,0,0,county,provisional,national_first_pass_2026
VA,133,0,0,0,0,0,133,0,0,0,county+independent-city,provisional,migrated_from_existing_tracker
VT,247,0,0,0,0,0,247,0,0,0,town,provisional,migrated_from_existing_tracker
WA,39,0,0,0,0,0,39,0,0,0,county,provisional,national_first_pass_2026
WI,1850,0,0,0,0,0,1850,0,0,0,municipal+county,provisional,migrated_from_existing_tracker
WV,55,0,0,0,0,0,55,0,0,0,county,provisional,national_first_pass_2026
WY,23,0,0,0,0,0,23,0,0,0,county,provisional,national_first_pass_2026
