state,expected_primary_units,authority_model,effective_from,effective_to,estimate_status,evidence_url,evidence_method,notes
AK,1,"state/election-region",,,provisional,,migrated_from_existing_tracker,"state-administered; provisional"
HI,4,"state+county",,,provisional,,migrated_from_existing_tracker,"four county election divisions"
LA,64,"parish",,,provisional,,migrated_from_existing_tracker,"64 parishes"
MA,351,"municipal",,,provisional,,migrated_from_existing_tracker,"351 cities and towns"
MD,24,"county+independent-city",,,provisional,,migrated_from_existing_tracker,"23 counties plus Baltimore City"
MN,87,"state+county/local",,,provisional,,migrated_from_existing_tracker,"87 counties; local layer may expand"
MO,116,"local-election-authority",,,provisional,,migrated_from_existing_tracker,"provisional local authority count"
ND,53,"county+state",,,provisional,,migrated_from_existing_tracker,"53 counties"
NH,234,"town+ward",,,provisional,,migrated_from_existing_tracker,"municipal baseline; wards may expand"
NJ,21,"county+municipal/election-district",,,provisional,,migrated_from_existing_tracker,"21 county primary authorities"
NM,33,"county+state",,,provisional,,migrated_from_existing_tracker,"33 counties"
NY,58,"county+board-of-elections",,,provisional,,migrated_from_existing_tracker,"county BOEs with multi-county NYC board; provisional"
OR,36,"county",,,provisional,,migrated_from_existing_tracker,"36 counties"
RI,39,"state+municipal",,,provisional,,migrated_from_existing_tracker,"39 municipalities"
SC,46,"county+state",,,provisional,,migrated_from_existing_tracker,"46 counties"
VA,133,"county+independent-city",,,provisional,,migrated_from_existing_tracker,"counties and independent cities; provisional"
VT,247,"town",,,provisional,,migrated_from_existing_tracker,"town/city baseline; provisional"
WI,1850,"municipal+county",,,provisional,,migrated_from_existing_tracker,"state clerk-directory working estimate"
AL,67,"county",,,provisional,,migrated_from_existing_tracker,"67 counties"
AZ,15,"county",,,provisional,,migrated_from_existing_tracker,"15 counties"
GA,159,"county",,,provisional,,migrated_from_existing_tracker,"159 counties"
IA,99,"county",,,provisional,,migrated_from_existing_tracker,"99 county auditors"
KS,105,"county",,,provisional,,migrated_from_existing_tracker,"105 counties"
KY,120,"county",,,provisional,,migrated_from_existing_tracker,"120 counties"
MI,83,county,,,high_confidence,,existing_mi_county_authority_registry,"83 county authorities enumerated in repository registry"
OH,88,county,,,high_confidence,,existing_oh_county_authority_registry,"88 county boards of elections enumerated in repository registry"
CT,169,municipality,,,high_confidence,,historical_ct_town_registry,"169 towns; historical counties retained only as metadata, not denominator units"
PA,67,county,,,high_confidence,,historical_pa_county_registry,"67 counties; statewide bulk results provide final-result floor"
